observation_date,Vietnam,Indonesia,Malaysia,Thailand,The Philippines,Peru,Mexico,Chile,Colombia,Republic of Korea,Hong Kong SAR,Singapore,South Africa,Ethiopia,Ghana,Nigeria,Mozambique,Kenya
1973-01-01,,763.256635953719,2321.73809965247,1079.191990945540,1522.01742049488,3625.43301411272,6385.19714673421,3973.50397268360,2748.14553426071,2583.31158461691,8435.88645932335,9325.56611338064,5220.82176643606,286.638646511650,1117.342458366670,2093.63873175684,,1133.748284676080
1974-01-01,,800.654080275710,2455.31271360892,1099.029395949660,1540.04224351715,3866.66343217870,6559.30112736973,3959.79582475475,2841.38134772396,2784.47241806545,8370.84543845848,9732.72706270950,5385.83133677931,288.463346176636,1159.775762085860,2267.04408449494,,1140.552559204660
1975-01-01,,819.538910861999,2416.51344882660,1125.839551261060,1587.49928255808,3933.70255577203,6740.62499353237,3419.82797116030,2843.73101842111,2955.19639022170,8254.03263526449,9974.22091805681,5327.51843473453,285.006045430116,986.613046328261,2089.85507779178,,1113.009776342080
1976-01-01,,854.398567378460,2632.12032089303,1202.744246546290,1683.65998853926,3893.41831349783,6845.37111751372,3488.60951805533,2914.01196628327,3294.13497099216,9468.54628337440,10572.56690417360,5301.98639575895,278.313662026800,924.779241630551,2214.32261606968,,1100.656501153500
1977-01-01,,906.717766390934,2768.88534365126,1291.919768102800,1730.59409726768,3811.69775974603,6888.57894645340,3818.62804303532,2968.66258052749,3644.59385270464,10427.16039372440,11141.57979700380,5155.68575875517,280.444448365703,918.336702049617,2278.69721767638,,1165.368612224780
1978-01-01,,944.755242951634,2883.07107029481,1394.181340220160,1772.22820167607,3619.69303247044,7309.60711423978,4063.41850322282,3148.23886798572,3986.99777854343,11085.84899097020,11863.69396770020,5168.06930314104,283.283138767077,966.366546263631,2082.55279909898,,1203.767877135310
1979-01-01,,989.678300355954,3077.78933378140,1438.539295043060,1822.14502270220,3674.96184299482,7814.54966733746,4341.27884005509,3244.08651685293,4270.07298916474,11709.22419138150,12834.16008958570,5220.72505658187,276.040285482629,913.729023099301,2155.78965300201,,1251.319133301410
1980-01-01,,1061.791789401000,3216.28778690077,1482.087420047370,1867.56862352125,3797.43621611508,8290.28898927734,4627.19349061049,3300.51170195765,4139.96068546080,12553.12612619810,13953.89017083400,5399.54067871187,292.153506886342,891.578049368905,2177.41578655323,251.567549222861,1275.282697293550
1981-01-01,,1119.399110207880,3332.82000559163,1538.431274149730,1881.81520256172,3909.66676934412,8875.07151189312,4866.12669776366,3298.73218883264,4377.64026742067,13397.31787909970,14737.30058542090,5498.59203384975,297.391843880891,836.509660283615,1834.28760820914,258.850606099762,1276.927787816890
1982-01-01,,1118.383207393340,3420.21717115114,1589.421685968190,1898.13930580212,3805.24470888803,8676.57130971348,4244.09899383271,3253.88046917188,4675.53053701243,13580.04295785360,15106.25076648210,5291.38261097586,288.690088739962,756.294499573179,1659.09814351168,235.767482817497,1250.613969290680
