latitude,longitude,rwi,error
-2.1857489,29.9157715,0.171,0.407
-1.5049538,30.2014160,-0.140,0.324
-2.5370123,29.7399902,-0.051,0.351
-2.0979197,30.0036621,-0.603,0.336
-2.2955282,29.5422363,-0.451,0.332
-2.0100856,29.9816895,0.082,0.373
-1.9002862,30.0256348,0.512,0.386
-2.3394375,30.7946777,-0.009,0.321
-2.0100856,30.1794434,-0.157,0.386
-1.7465556,30.4211426,-0.009,0.326
-2.5809138,29.5202637,-0.304,0.316
-2.3613917,29.1247559,-0.400,0.326
-2.2516175,29.3005371,-0.268,0.294
-1.6147764,30.5749512,-0.039,0.300
-1.5049538,29.6740723,-0.012,0.383
-1.7685179,29.3884277,-0.082,0.319
-1.9442068,29.8498535,0.092,0.379
-1.4829887,29.9157715,-0.069,0.308
-2.7565043,29.8278809,-0.580,0.294
-1.0875811,30.3552246,-0.360,0.315
-1.7026302,29.3444824,0.257,0.452
-2.0540032,30.2673340,0.257,0.298
-2.6028640,29.4763184,-0.667,0.288
-2.2955282,30.7287598,0.407,0.390
-1.9442068,30.3991699,0.931,0.400
-1.3511931,30.2893066,0.006,0.332
-2.0320445,29.3884277,0.087,0.395
-1.1095498,30.3552246,-0.365,0.301
-2.1637921,29.6740723,-0.293,0.358
-2.2735730,29.7839355,0.383,0.416
-2.4931093,29.6301270,0.029,0.331
-1.5708481,29.8498535,-0.151,0.310
-1.7904800,29.6081543,0.204,0.373
-2.1857489,29.5202637,-0.187,0.330
-2.0320445,29.8059082,-0.515,0.334
-2.0100856,30.6188965,0.159,0.323
-1.8563646,29.3005371,-0.103,0.385
-1.5269188,29.7180176,0.441,0.388
-2.4272521,28.9050293,0.386,0.354
-1.9002862,29.3884277,-0.479,0.361
-1.8783255,30.2014160,-0.319,0.335
-1.8344033,30.5749512,-0.137,0.300
-1.3292264,30.3332520,0.254,0.363
-1.5708481,30.2673340,-0.093,0.302
-2.4711573,29.4323730,0.594,0.295
-1.5269188,30.3332520,-0.433,0.313
-1.8124418,30.5090332,0.582,0.301
-2.6028640,29.5202637,-0.377,0.334
-1.4170918,30.1794434,-0.522,0.328
-2.7784514,29.4982910,-0.068,0.289
-1.6587038,29.7180176,-0.408,0.319
-2.6248138,28.9489746,0.461,0.402
-1.6587038,29.8718262,0.622,0.384
-1.8783255,29.3884277,-0.324,0.322
-1.9881263,30.4870605,-0.186,0.348
-1.8563646,30.3552246,-0.148,0.324
-2.0100856,30.1574707,0.760,0.378
-2.2516175,29.5642090,-0.128,0.298
-2.1198775,30.4211426,0.172,0.342
-1.8124418,29.9597168,-0.225,0.339
-1.5269188,29.8718262,0.406,0.333
-2.0759616,29.5202637,-0.397,0.328
-2.3174830,30.6848145,-0.148,0.316
-2.3394375,29.6740723,0.010,0.324
-1.9661667,30.0476074,1.904,0.415
-2.6906608,29.8059082,-0.304,0.330
-1.7245930,29.4763184,-0.096,0.319
-2.4052990,29.5861816,0.120,0.299
-2.0979197,29.8059082,0.047,0.324
-1.8344033,29.8278809,-0.065,0.318
-1.4390576,30.0256348,0.233,0.405
-2.1418349,30.6628418,-0.334,0.290
-2.0759616,29.5422363,0.118,0.355
-1.6147764,29.8278809,-0.164,0.292
-1.9002862,30.6408691,0.007,0.311
-1.4170918,29.8498535,0.592,0.418
-2.6028640,28.9270020,-0.447,0.335
-2.6687122,29.4323730,-0.263,0.289
-1.9222467,30.6848145,-0.093,0.328
-2.0320445,30.6848145,-0.074,0.341
-2.1857489,30.1574707,-0.103,0.343
-1.9881263,30.0256348,1.112,0.396
-2.6028640,29.6520996,0.089,0.382
-2.1637921,29.8937988,-0.224,0.318
-2.6906608,29.7180176,0.094,0.363
-2.2516175,29.6081543,0.115,0.308
-2.5589632,29.1027832,-0.211,0.294
-1.9661667,29.6301270,-0.025,0.365
-1.9442068,29.9597168,0.303,0.455
-1.7026302,29.9377441,0.023,0.399
-1.9881263,30.0036621,0.572,0.391
-1.8344033,30.0476074,0.030,0.385
-1.2852926,30.3332520,0.745,0.480
-1.0875811,30.3991699,0.215,0.358
-1.6587038,30.2233887,-0.336,0.305
-1.5488836,30.2233887,0.308,0.316
-1.5708481,29.8059082,-0.203,0.333
-1.3072596,30.4650879,-0.712,0.311
-1.5928123,30.1574707,-0.244,0.331
-2.7345569,29.7839355,-0.058,0.297
-2.3613917,29.9377441,-0.388,0.294
-2.0759616,30.4870605,0.007,0.324
-2.6248138,29.2126465,-0.014,0.366
-1.6147764,30.5529785,-0.333,0.319
-2.3394375,29.1906738,-0.345,0.309
-2.3613917,29.5202637,-0.267,0.336
-1.2852926,30.3991699,-0.134,0.412
-1.3292264,30.5090332,-0.035,0.298
-1.9002862,29.2565918,-0.176,0.317
-2.4711573,28.9489746,-0.193,0.390
-2.7565043,29.5861816,0.318,0.303
-1.9881263,30.3552246,-0.124,0.352
-1.5928123,30.4431152,-0.165,0.314
-1.4829887,29.6520996,0.951,0.416
-2.0759616,29.9157715,-0.189,0.332
-1.5269188,29.3884277,-0.084,0.323
-1.3292264,30.2233887,-0.315,0.301
-1.7685179,29.9816895,0.425,0.327
-2.5589632,28.9050293,-0.217,0.352
-2.0759616,29.6960449,-0.218,0.378
-2.6687122,29.0368652,0.030,0.292
-1.6367402,30.2233887,-0.213,0.305
-1.3072596,30.5310059,-0.762,0.291
-2.3833455,29.6740723,-0.180,0.309
-1.3731595,30.2673340,-0.124,0.343
-2.2955282,29.8059082,-0.278,0.295
-1.5708481,30.2014160,-0.247,0.311
-2.1418349,30.5529785,0.779,0.477
-1.7904800,29.3225098,-0.141,0.392
-2.5809138,29.0148926,0.212,0.401
-2.2955282,30.0256348,-0.120,0.337
-1.7245930,30.2233887,-0.095,0.391
-2.4492049,29.4323730,-0.436,0.304
-1.8783255,30.3112793,-0.033,0.325
-1.9661667,29.3444824,-0.089,0.360
-1.6147764,29.4982910,0.719,0.433
-2.2296616,29.5422363,-0.047,0.332
-1.9002862,30.0476074,0.911,0.433
-2.4052990,30.5310059,-0.107,0.294
